W_PROV,SEQ_NO,FSIZE,URB,RFACT,TOINC,WAGES,RPCINC,CASH_ABROAD,CASH_DOMESTIC,TOTEX,PERCAPITA,FOOD,CLOTH,HEALTH,TRANSPORT,COMMUNICATION,RECREATION,EDUCATION
10,26230,1.5,1,478.338623047,227396.0,148000,8,0,2000,178540.66,151597.328125,49818.66,2120,30900,6800,11700,0,0
10,26231,6.0,1,478.338623047,405903.0,284000,4,0,60000,247543.12,67650.5,107823.12,5525,34000,6380,6760,1100,9200
10,26232,5.0,1,478.338623047,239540.0,183600,2,0,22500,181549.69,47908.0,70811.69,3170,480,4430,18800,1300,15600
10,26233,2.0,1,478.338623047,121363.0,42000,3,0,22500,106456.94,60681.5,43322.0,300,100,6850,3200,0,0
10,26234,6.0,1,478.338623047,808500.0,772000,8,0,12500,569121.68,134750.0,156907.68,7720,3120,18896,14800,5200,176050
10,26235,2.5,1,478.338623047,152829.0,133776,3,0,3000,134995.75,61131.601562,61091.75,4820,40,4890,3200,200,6500
10,26236,5.0,1,478.338623047,170095.0,72000,1,0,10000,133742.0,34019.0,88594.0,610,2230,9040,5200,0,0
10,26237,3.0,1,478.338623047,118230.0,45000,1,0,5000,93366.0,39410.0,60268.0,880,100,3860,1090,0,0
10,26238,8.0,1,439.941345215,411644.0,246384,2,0,0,266411.0,51455.5,101313.0,2610,1250,23900,23044,0,0
10,26239,2.0,1,439.941345215,450200.0,0,9,420000,0,240423.0,225100.0,80447.0,4050,6810,7860,21834,3000,1800
10,26240,1.0,1,439.941345215,302600.0,0,10,100000,4800,195073.0,302600.0,81919.0,750,3240,13000,23800,0,0
10,26241,4.0,1,439.941345215,261820.0,217100,4,0,44200,161164.0,65455.0,86286.0,1850,900,20520,4200,400,0
10,26242,7.0,1,439.941345215,286360.0,150000,1,0,0,243209.0,40908.570312,109706.0,5230,6410,20550,15744,0,0
10,26243,4.0,1,439.941345215,368359.0,0,6,305000,12819,216114.0,92089.75,88685.0,1700,12500,6920,20020,0,0
10,26244,2.0,1,439.941345215,271365.0,204000,8,0,1845,103559.0,135682.5,51596.0,450,10800,1020,1900,0,0
10,26245,2.0,1,439.941345215,314550.0,245400,8,0,0,166033.0,157275.0,61236.0,2830,550,4360,18300,0,0
10,26246,5.0,1,439.941345215,154910.0,127000,1,0,0,137639.0,30982.0,64539.0,1100,1800,2200,6150,0,0
10,26247,3.0,1,439.941345215,259810.0,144000,5,0,25000,135125.0,86603.335938,84637.0,600,0,2744,4810,0,0
10,26248,2.0,1,439.941345215,129250.0,72000,4,0,0,77182.0,64625.0,35991.0,550,0,1824,2900,0,0
10,26249,4.5,1,439.941345215,225655.0,146400,2,0,52300,145087.0,50145.554687,65037.0,800,50,5330,2900,2400,500
10,26250,2.5,1,439.941345215,172000.0,0,4,0,84000,106674.0,68800.0,48312.0,3020,0,3600,480,0,0
10,26251,1.0,1,439.941345215,286000.0,0,10,0,0,162011.0,286000.0,54970.0,1500,1800,1000,19500,0,0
10,26252,4.0,2,587.405273437,358270.0,301250,5,0,20000,313399.0,89567.5,90031.0,3230,21842,30324,14400,4330,20000
10,26253,4.0,2,587.405273437,283100.0,246580,4,0,12850,226381.0,70775.0,118302.0,5320,210,15272,5400,1050,19680
10,26254,3.0,2,587.405273437,338619.0,314544,7,0,0,221477.0,112873.0,101494.0,3350,385,5296,7200,2125,6200
10,26255,5.0,2,587.405273437,1169580.0,612600,9,0,15000,513112.7,233916.0,95931.7,3150,8900,82900,21300,0,0
10,26256,3.0,2,587.405273437,1428900.0,770000,10,180000,0,929740.0,476300.0,149351.0,16500,5200,76380,41400,0,0
10,26257,5.0,2,587.405273437,699800.0,392120,8,0,0,402243.0,139960.0,130351.0,12118,5853,13476,21300,1000,31860
10,26258,3.5,2,587.405273437,604000.0,522000,9,0,66000,540247.0,172571.421875,132228.0,13800,84200,18912,19500,500,3960
10,26259,8.5,2,587.405273437,451750.0,371060,2,0,8450,294336.0,53147.058594,114867.0,5480,0,10100,17420,2500,29300
10,26260,6.5,2,587.405273437,726300.0,678300,7,0,0,419762.0,111738.460938,158376.0,15700,2700,16644,23300,5700,84000
10,26261,3.0,2,587.405273437,1162400.0,591500,10,240000,0,729149.0,387466.65625,62658.0,15100,195490,141650,6988,6000,0
10,26262,4.0,2,587.405273437,394700.0,330200,6,0,0,244857.0,98675.0,104676.0,4690,80,5694,9900,5225,0
10,26263,7.5,2,587.405273437,603780.0,405380,5,0,0,427134.0,80504.0,155706.0,6940,128,36024,17400,800,6600
10,26264,2.0,2,587.405273437,340940.0,0,9,0,192000,257384.0,170470.0,58573.0,1085,3000,3300,25920,5350,102000
10,26265,7.0,2,587.405273437,361731.0,244000,2,15000,25000,294568.0,51675.855469,130811.0,5550,980,14260,3600,1600,9280
10,26266,5.0,2,587.405273437,293596.0,263596,3,0,0,238976.0,58719.199219,83552.0,2900,0,10560,9120,800,26400
10,26267,3.0,2,587.405273437,99120.0,0,1,10000,11000,93705.0,33040.0,29776.0,1200,0,4800,1800,0,0
10,26268,5.0,2,587.405273437,615600.0,506600,7,0,0,370106.0,123120.0,119416.0,8400,16280,10824,16000,0,0
10,26269,2.5,1,532.655456543,120000.0,112200,2,0,0,93198.0,48000.0,30809.0,780,6540,9620,4400,0,0
10,26270,3.0,1,532.655456543,174300.0,162000,3,0,0,132087.0,58100.0,60672.0,540,180,4200,2900,0,0
10,26271,3.0,1,532.655456543,162500.0,144500,3,0,0,113684.0,54166.667969,47609.0,400,180,6200,1800,0,0
10,26272,3.0,1,532.655456543,127720.0,109000,2,0,0,114589.0,42573.332031,45575.0,350,540,12814,1140,0,0
10,26273,3.5,1,532.655456543,288000.0,274200,5,0,0,224814.0,82285.710938,144254.0,4700,1000,9190,12200,400,600
10,26274,5.0,1,532.655456543,260700.0,250100,2,0,0,165261.0,52140.0,110295.0,3000,3360,8164,1900,0,0
10,26275,4.0,1,532.655456543,186520.0,173800,2,0,2500,166917.0,46630.0,92978.0,2050,2340,8996,15850,0,0
10,26276,4.0,1,532.655456543,329800.0,231800,5,0,0,185975.0,82450.0,97362.0,5798,2292,6500,9540,0,0
10,26277,3.0,1,532.655456543,181300.0,172300,3,0,0,122681.0,60433.332031,62621.0,1300,450,10790,2700,0,0
10,26278,1.0,1,532.655456543,133800.0,72000,8,45000,0,100479.0,133800.0,32492.0,600,540,9438,300,1500,0
10,26279,1.5,1,532.655456543,164900.0,88400,7,0,0,116157.0,109933.335938,60798.0,600,432,5850,3500,0,0
